"Candidate","Total"
"Armstrong KellyKelly Armstrong (R-ND)","$10000"
"Brady KevinKevin Brady (R-Texas)","$10000"
"Clyburn James EJames E Clyburn (D-SC)","$10000"
"Hoyer Steny HSteny H Hoyer (D-Md)","$10000"
"McCarthy KevinKevin McCarthy (R-Calif)","$10000"
"Pallone Frank JrFrank Pallone Jr. (D-NJ)","$10000"
"Rodgers Cathy McMorrisCathy McMorris Rodgers (R-Wash)","$10000"
"Scalise SteveSteve Scalise (R-La)","$10000"
"Smith AdamAdam Smith (D-Wash)","$10000"
"Kilmer DerekDerek Kilmer (D-Wash)","$9000"
"Newhouse DanDan Newhouse (R-Wash)","$8000"
"Jeffries HakeemHakeem Jeffries (D-NY)","$7500"
"McHenry PatrickPatrick McHenry (R-NC)","$7500"
"Nadler JerroldJerrold Nadler (D-NY)","$7500"
"Davis RodneyRodney Davis (R-Ill)","$7000"
"Beutler Jaime HerreraJaime Herrera Beutler (R-Wash)","$6000"
"Buchanan VernonVernon Buchanan (R-Fla)","$6000"
"Issa DarrellDarrell Issa (R-Calif)","$6000"
"McCaul MichaelMichael McCaul (R-Texas)","$6000"
"Cheney LizLiz Cheney (R-Wyo)","$5500"
"Hudson RichardRichard Hudson (R-NC)","$5500"
"LaHood DarinDarin LaHood (R-Ill)","$5500"
"Reed TomTom Reed (R-NY)","$5500"
"Arrington JodeyJodey Arrington (R-Texas)","$5000"
"Bass KarenKaren Bass (D-Calif)","$5000"
"Bergman JohnJohn Bergman (R-Mich)","$5000"
"DelBene SuzanSuzan DelBene (D-Wash)","$5000"
"Ferguson DrewDrew Ferguson (R-Ga)","$5000"
"Langevin JimJim Langevin (D-RI)","$5000"
"Thompson Bennie GBennie G Thompson (D-Miss)","$5000"
"Mast BrianBrian Mast (R-Fla)","$4500"
"Riggleman DenverDenver Riggleman (R-Va)","$4500"
"Turner Michael RMichael R Turner (R-Ohio)","$4500"
"Amodei MarkMark Amodei (R-Nev)","$4000"
"Carter BuddyBuddy Carter (R-Ga)","$4000"
"Chabot SteveSteve Chabot (R-Ohio)","$4000"
"Cole TomTom Cole (R-Okla)","$4000"
"Johnson MikeMike Johnson (R-La)","$4000"
"Jordan JimJim Jordan (R-Ohio)","$4000"
"Katko JohnJohn Katko (R-NY)","$4000"
"Kind RonRon Kind (D-Wis)","$4000"
"Lee BarbaraBarbara Lee (D-Calif)","$4000"
"Peters ScottScott Peters (D-Calif)","$4000"
"Reschenthaler GuyGuy Reschenthaler (R-Pa)","$4000"
"Richmond CedricCedric Richmond (D-La)","$4000"
"Stefanik EliseElise Stefanik (R-NY)","$4000"
"Walorski JackieJackie Walorski (R-Ind)","$4000"
"Wittman RobRob Wittman (R-Va)","$4000"
"Blumenauer EarlEarl Blumenauer (D-Ore)","$3500"
"Butterfield G KG K Butterfield (D-NC)","$3500"
"Chu JudyJudy Chu (D-Calif)","$3500"
"Larsen RickRick Larsen (D-Wash)","$3500"
"Lieu TedTed Lieu (D-Calif)","$3500"
"Lofgren ZoeZoe Lofgren (D-Calif)","$3500"
"Murphy StephanieStephanie Murphy (D-Fla)","$3500"
"Rogers Mike DMike D Rogers (R-Ala)","$3500"
"Schiff AdamAdam Schiff (D-Calif)","$3500"
"Walden GregGreg Walden (R-Ore)","$3500"
"Bacon Donald JohnDon Bacon (R-Neb)","$3000"
"Buck KenKen Buck (R-Colo)","$3000"
"Burgess MichaelMichael Burgess (R-Texas)","$3000"
"Cline BenBen Cline (R-Va)","$3000"
"Crenshaw DanDan Crenshaw (R-Texas)","$3000"
"Deutch TedTed Deutch (D-Fla)","$3000"
"Fitzpatrick BrianBrian Fitzpatrick (R-Pa)","$3000"
"Gallagher MikeMike Gallagher (R-Wis)","$3000"
"Gonzalez AnthonyAnthony Gonzalez (R-Ohio)","$3000"
"Griffith MorganMorgan Griffith (R-Va)","$3000"
"Guthrie BrettBrett Guthrie (R-Ky)","$3000"
"Johnson BillBill Johnson (R-Ohio)","$3000"
"Johnson HankHank Johnson (D-Ga)","$3000"
"Joyce JohnJohn Joyce (R-Pa)","$3000"
"Kelly MikeMike Kelly (R-Pa)","$3000"
"Kinzinger AdamAdam Kinzinger (R-Ill)","$3000"
"Rice TomTom Rice (R-SC)","$3000"
"Schrader KurtKurt Schrader (D-Ore)","$3000"
"Schultz Debbie WassermanDebbie Wasserman Schultz (D-Fla)","$3000"
"Smith AdrianAdrian Smith (R-Neb)","$3000"
"Smith JasonJason Smith (R-Mo)","$3000"
"Stewart ChrisChris Stewart (R-Utah)","$3000"
"Bera AmiAmi Bera (D-Calif)","$2500"
"Bustos CheriCheri Bustos (D-Ill)","$2500"
"Clark KatherineKatherine Clark (D-Mass)","$2500"
"Clarke Yvette DYvette D Clarke (D-NY)","$2500"
"Costa JimJim Costa (D-Calif)","$2500"
"Cuellar HenryHenry Cuellar (D-Texas)","$2500"
"Demings ValVal Demings (D-Fla)","$2500"
"Gallego RubenRuben Gallego (D-Ariz)","$2500"
"Heck DennisDennis Heck (D-Wash)","$2500"
"Hurd WillWill Hurd (R-Texas)","$2500"
"Kelly RobinRobin Kelly (D-Ill)","$2500"
"Meeks Gregory WGregory W Meeks (D-NY)","$2500"
"Moore GwenGwen Moore (D-Wis)","$2500"
"Neal Richard ERichard E Neal (D-Mass)","$2500"
"Pelosi NancyNancy Pelosi (D-Calif)","$2500"
"Roybal-Allard LucilleLucille Roybal-Allard (D-Calif)","$2500"
"Ruiz RaulRaul Ruiz (D-Calif)","$2500"
"Sanchez LindaLinda Sanchez (D-Calif)","$2500"
"Sewell Terri ATerri A Sewell (D-Ala)","$2500"
"Adams AlmaAlma Adams (D-NC)","$2000"
"Aguilar PetePete Aguilar (D-Calif)","$2000"
"Banks JimJim Banks (R-Ind)","$2000"
"Barr AndyAndy Barr (R-Ky)","$2000"
"Beyer DonDon Beyer (D-Va)","$2000"
"Biggs AndyAndy Biggs (R-Ariz)","$2000"
"Bishop SanfordSanford Bishop (D-Ga)","$2000"
"Bonamici SuzanneSuzanne Bonamici (D-Ore)","$2000"
"Brown AnthonyAnthony Brown (D-Md)","$2000"
"Budd TedTed Budd (R-NC)","$2000"
"Carter JohnJohn Carter (R-Texas)","$2000"
"Cohen SteveSteve Cohen (D-Tenn)","$2000"
"Comer JamesJames Comer (R-Ky)","$2000"
"Craig AngieAngie Craig (D-Minn)","$2000"
"Curtis JohnJohn Curtis (R-Utah)","$2000"
"Davidson WarrenWarren Davidson (R-Ohio)","$2000"
"DeLauro Rosa LRosa L DeLauro (D-Conn)","$2000"
"Emmer TomTom Emmer (R-Minn)","$2000"
"Escobar VeronicaVeronica Escobar (D-Texas)","$2000"
"Estes RonRon Estes (R-Kan)","$2000"
"Fortenberry JeffJeff Fortenberry (R-Neb)","$2000"
"Fudge Marcia LMarcia L Fudge (D-Ohio)","$2000"
"Gottheimer JoshJosh Gottheimer (D-NJ)","$2000"
"Graves SamSam Graves (R-Mo)","$2000"
"Graves TomTom Graves (R-Ga)","$2000"
"Hill FrenchFrench Hill (R-Ark)","$2000"
"Holding GeorgeGeorge Holding (R-NC)","$2000"
"Horsford StevenSteven Horsford (D-Nev)","$2000"
"Houlahan ChrissyChrissy Houlahan (D-Pa)","$2000"
"Johnson Eddie BerniceEddie Bernice Johnson (D-Texas)","$2000"
"Joyce David PDavid P Joyce (R-Ohio)","$2000"
"Krishnamoorthi RajaRaja Krishnamoorthi (D-Ill)","$2000"
"Latta Robert ERobert E Latta (R-Ohio)","$2000"
"Lesko DebbieDebbie Lesko (R-Ariz)","$2000"
"Luetkemeyer BlaineBlaine Luetkemeyer (R-Mo)","$2000"
"Meng GraceGrace Meng (D-NY)","$2000"
"Moolenaar JohnJohn Moolenaar (R-Mich)","$2000"
"Mullin MarkwayneMarkwayne Mullin (R-Okla)","$2000"
"O'Halleran TomTom O'Halleran (D-Ariz)","$2000"
"Ratcliffe JohnJohn Ratcliffe (R-Texas)","$2000"
"Rochester Lisa BluntLisa Blunt Rochester (D-Del)","$2000"
"Ruppersberger DutchDutch Ruppersberger (D-Md)","$2000"
"Rush Bobby LBobby L Rush (D-Ill)","$2000"
"Rutherford JohnJohn Rutherford (R-Fla)","$2000"
"Schneider BradBrad Schneider (D-Ill)","$2000"
"Schweikert DavidDavid Schweikert (R-Ariz)","$2000"
"Scott BobbyBobby Scott (D-Va)","$2000"
"Sensenbrenner JimJim Sensenbrenner (R-Wis)","$2000"
"Shimkus JohnJohn Shimkus (R-Ill)","$2000"
"Steube GregGreg Steube (R-Fla)","$2000"
"Swalwell EricEric Swalwell (D-Calif)","$2000"
"Upton FredFred Upton (R-Mich)","$2000"
"Veasey MarcMarc Veasey (D-Texas)","$2000"
"Visclosky PetePete Visclosky (D-Ind)","$2000"
"Wagner Ann LAnn L Wagner (R-Mo)","$2000"
"Walberg TimTim Walberg (R-Mich)","$2000"
"Waltz MichaelMichael Waltz (R-Fla)","$2000"
"Wenstrup BradBrad Wenstrup (R-Ohio)","$2000"
"Westerman BruceBruce Westerman (R-Ark)","$2000"
"Zeldin LeeLee Zeldin (R-NY)","$2000"
"Beatty JoyceJoyce Beatty (D-Ohio)","$1500"
"Case EdEd Case (D-Hawaii)","$1500"
"Doyle MikeMike Doyle (D-Pa)","$1500"
"Long BillyBilly Long (R-Mo)","$1500"
"Aderholt Robert BRobert B Aderholt (R-Ala)","$1000"
"Brooks SusanSusan Brooks (R-Ind)","$1000"
"Cardenas TonyTony Cardenas (D-Calif)","$1000"
"Carson AndreAndre Carson (D-Ind)","$1000"
"Castor KathyKathy Castor (D-Fla)","$1000"
"Clay William L JrWilliam L Clay Jr. (D-Mo)","$1000"
"Cleaver EmanuelEmanuel Cleaver (D-Mo)","$1000"
"Conaway MikeMike Conaway (R-Texas)","$1000"
"Connolly GerryGerry Connolly (D-Va)","$1000"
"Cooper JimJim Cooper (D-Tenn)","$1000"
"DeFazio PeterPeter DeFazio (D-Ore)","$1000"
"DeGette DianaDiana DeGette (D-Colo)","$1000"
"Diaz-Balart MarioMario Diaz-Balart (R-Fla)","$1000"
"Duncan JeffJeff Duncan (R-SC)","$1000"
"Eshoo AnnaAnna Eshoo (D-Calif)","$1000"
"Evans DwightDwight Evans (D-Pa)","$1000"
"Finkenauer AbbyAbby Finkenauer (D-Iowa)","$1000"
"Fleischmann ChuckChuck Fleischmann (R-Tenn)","$1000"
"Fletcher LizzieLizzie Fletcher (D-Texas)","$1000"
"Fulcher RussRuss Fulcher (R-Idaho)","$1000"
"Gianforte GregGreg Gianforte (R-Mont)","$1000"
"Granger KayKay Granger (R-Texas)","$1000"
"Graves GarretGarret Graves (R-La)","$1000"
"Hern KevinKevin Hern (R-Okla)","$1000"
"Himes JimJim Himes (D-Conn)","$1000"
"Huizenga BillBill Huizenga (R-Mich)","$1000"
"Jackson Lee SheilaSheila Jackson Lee (D-Texas)","$1000"
"Johnson DustyDusty Johnson (R-SD)","$1000"
"Kustoff DavidDavid Kustoff (R-Tenn)","$1000"
"Lamborn Douglas LDouglas L Lamborn (R-Colo)","$1000"
"Lawrence BrendaBrenda Lawrence (D-Mich)","$1000"
"Lewis JohnJohn Lewis (D-Ga)","$1000"
"Lowey Nita MNita M Lowey (D-NY)","$1000"
"Lucas Frank DFrank D Lucas (R-Okla)","$1000"
"Maloney Carolyn BCarolyn B Maloney (D-NY)","$1000"
"Matsui DorisDoris Matsui (D-Calif)","$1000"
"McEachin DonaldDonald McEachin (D-Va)","$1000"
"Mooney AlexAlex Mooney (R-WVa)","$1000"
"Mucarsel-Powell DebbieDebbie Mucarsel-Powell (D-Fla)","$1000"
"Neguse JosephJoseph Neguse (D-Colo)","$1000"
"Norcross DonDon Norcross (D-NJ)","$1000"
"Panetta JimmyJimmy Panetta (D-Calif)","$1000"
"Raskin JamieJamie Raskin (D-Md)","$1000"
"Rice KathleenKathleen Rice (D-NY)","$1000"
"Roby MarthaMartha Roby (R-Ala)","$1000"
"Roe PhilPhil Roe (R-Tenn)","$1000"
"Rogers HalHal Rogers (R-Ky)","$1000"
"Sherrill MikieMikie Sherrill (D-NJ)","$1000"
"Smith ChrisChris Smith (R-NJ)","$1000"
"Smucker LloydLloyd Smucker (R-Pa)","$1000"
"Soto DarrenDarren Soto (D-Fla)","$1000"
"Stauber PetePete Stauber (R-Minn)","$1000"
"Stivers SteveSteve Stivers (R-Ohio)","$1000"
"Strickland MarilynMarilyn Strickland (D-Wash)","$1000"
"Takano MarkMark Takano (D-Calif)","$1000"
"Thompson MikeMike Thompson (D-Calif)","$1000"
"Timmons WilliamWilliam Timmons (R-SC)","$1000"
"Tonko PaulPaul Tonko (D-NY)","$1000"
"Walker MarkMark Walker (R-NC)","$1000"
"Waters MaxineMaxine Waters (D-Calif)","$1000"
"Welch PeterPeter Welch (D-Vt)","$1000"
"Womack SteveSteve Womack (R-Ark)","$1000"
"Cummings Elijah EElijah E Cummings (D-Md)","$0"
