"Candidate","Total"
"Coons ChrisChris Coons (D-Del)","$10000"
"Daines StevenSteven Daines (R-Mont)","$10000"
"Graham LindseyLindsey Graham (R-SC)","$10000"
"McConnell MitchMitch McConnell (R-Ky)","$10000"
"Peters GaryGary Peters (D-Mich)","$10000"
"Sasse BenBen Sasse (R-Neb)","$10000"
"Shaheen JeanneJeanne Shaheen (D-NH)","$10000"
"Smith TinaTina Smith (D-Minn)","$10000"
"Sullivan DanDan Sullivan (R-Alaska)","$10000"
"Tillis ThomThom Tillis (R-NC)","$10000"
"Durbin DickDick Durbin (D-Ill)","$8000"
"Gardner CoryCory Gardner (R-Colo)","$7500"
"Perdue DavidDavid Perdue (R-Ga)","$7500"
"Reed JackJack Reed (D-RI)","$7500"
"Rounds MikeMike Rounds (R-SD)","$7500"
"Warner MarkMark Warner (D-Va)","$7500"
"Collins DougDoug Collins (R-Ga)","$5000"
"Cornyn JohnJohn Cornyn (R-Texas)","$5000"
"Ernst JoniJoni Ernst (R-Iowa)","$5000"
"Lujan Ben RayBen Ray Lujan (D-NM)","$5000"
"Jones DougDoug Jones (D-Ala)","$4000"
"Lummis CynthiaCynthia Lummis (R-Wyo)","$3500"
"Marshall RogerRoger Marshall (R-Kan)","$3500"
"Schumer Charles ECharles E Schumer (D-NY)","$3500"
"Byrne BradleyBradley Byrne (R-Ala)","$3000"
"Risch James EJames E Risch (R-Idaho)","$3000"
"Inhofe James MJames M Inhofe (R-Okla)","$2500"
"Markey EdEd Markey (D-Mass)","$2500"
"Cassidy BillBill Cassidy (R-La)","$1000"
"Tester JonJon Tester (D-Mont)","$1000"
